rec_id,first_name,second_name,last_name,region,birth_date,personal_id
rec-0000-dup-0,HANNA,,MARCINIIAK,ŁÓDZKIE,30/08/1985,PSK449992
rec-0000-org,HANNA,WIKTORIA,MARCINIAK,ŁÓDZKIE,30/08/1958,PSK449992
rec-0001-org,LENA,RITA,URBAŃSKA,WIELKOPOLSKIE,14/11/1948,FSP114761
rec-0002-org,IGA,RITA,WIERZBICKA,DOLNOŚLĄSKIE,31/10/1937,ZMJ316312
rec-0003-org,LILIANNA,HELENA,WOJTASZEK,MAZOWIECKIE,27/02/1953,GTF079288
rec-0004-org,ZUZANNA,MICHALINA,SOKOŁOWSKA,ŚLĄSKIE,16/02/2016,SZW745643
rec-0005-org,MARCELINA,IZABELA,STOKŁOSA,MAZOWIECKIE,15/08/1984,LAP237266
rec-0006-org,JAGODA,MARIA,CHROBAK,ŚLĄSKIE,19/10/1988,JXZ263796
rec-0007-dup-0,IGA,,VILK,MAZOWIECKIE,20/01/2080,JPR684401
rec-0007-org,IGA,ŁUCJA,WILK,MAZOWIECKIE,20/01/2008,JPR684401
rec-0008-org,OLESIA,RENATA,SZCZEPANIAK,POMORSKIE,30/07/2002,NTS512840
rec-0009-org,DOMINIKA,JÓZEFA,LEWANDOWSKA,WIELKOPOLSKIE,01/05/1987,ZZS695163
rec-0010-org,GABRIELA,JADWIGA,KARPIŃSKA,MAŁOPOLSKIE,27/03/1978,TAJ991496
rec-0011-dup-0,EWA,,BOROWYETŹ,ŁÓDZKIE,05/03/1951,KHF269789
rec-0011-org,EWA,JULIA,BOROWIEC,ŁÓDZKIE,05/03/1951,KHF260789
rec-0012-org,LENA,LAURA,SZCZYGIELSKA,PODKARPACKIE,22/03/1987,LZX869051
rec-0013-org,OLIWIA,ANGELIKA,ANDRZEJEWSKA,LUBELSKIE,09/02/1977,FDA480734
rec-0014-dup-0,EMMA,DOMINIKA,NA,MAZOWIECKIE,05/10/1929,DNZ75p786
rec-0014-org,EMMA,DOMINIKA,SZYMKOWIAK,MAZOWIECKIE,05/10/1992,DNZ750786
rec-0015-dup-0,,MAJA,NA,POMORSKIE,07/11/1976,CHE9846e2
rec-0015-org,HANNA,MAJA,KOWALSKA,POMORSKIE,07/11/1976,CHE984642
rec-0016-dup-0,KORNELIA,KLARA,JARZABEK,,18/05/2020,
rec-0016-org,KORNELIA,KLARA,JARZĄBEK,MAŁOPOLSKIE,18/05/2020,LEX497879
rec-0017-org,MARTYNA,ZOFIA,FLOREK,ŁÓDZKIE,09/07/1959,YLY838684
rec-0018-dup-0,ADA,MARIKA,WOŻINA,,13/10/1987,SPZ1r5719
rec-0018-org,ADA,MARIKA,WOŹNA,MAZOWIECKIE,13/10/1987,SPZ155719
rec-0019-org,LAURA,MARIA,GRUSZKA,MAZOWIECKIE,04/02/1945,MWM623821
rec-0020-org,LAURA,KLARA,ŁUKASIK,LUBELSKIE,02/03/1947,NSY687466
rec-0021-dup-0,NELA,,NA,ŁÓDZKIE,15/02/1970,
rec-0021-org,NELA,MARIA,WIERZBICKA,ŁÓDZKIE,15/02/1970,PWP785992
rec-0022-org,JAGODA,KLARA,SZCZEŚNIAK,ŚLĄSKIE,27/04/1975,HFM205984
rec-0023-dup-0,,WIKTORIA,STEŁPNIAK,ŚLĄSKIE,27/08/1979,YTF1091r5
rec-0023-org,KALINA,WIKTORIA,STĘPNIAK,ŚLĄSKIE,27/08/1979,YTF109145
rec-0024-dup-0,PATRYTZJA,NADIA,NA,MAZOWIECKIE,28/06/1955,JYH891890
rec-0024-org,PATRYCJA,NADIA,WIŚNIEWSKA,MAZOWIECKIE,28/06/1955,JYH891790
rec-0025-org,ZOFIA,JOLANTA,WÓJCIK,MAZOWIECKIE,15/09/1981,SJM610417
rec-0026-org,LENA,RITA,SZAFRAŃSKA,POMORSKIE,03/01/1985,WXN554387
rec-0027-org,LENA,ANTONINA,KAMIŃSKA,OPOLSKIE,26/10/1952,NWY197345
rec-0028-org,ZUZANNA,KRYSTYNA,CISZEWSKA,MAZOWIECKIE,20/12/1957,TJZ620476
rec-0029-dup-0,,MARIANNA,TZZAPLIŃSKA,ŁÓDZKIE,09/07/1928,YPT577759
rec-0029-org,JAGODA,MARIANNA,CZAPLIŃSKA,ŁÓDZKIE,09/07/1982,YPT577759
rec-0030-org,ANTONINA,ZOFIA,RESZKA,ŚLĄSKIE,24/08/1966,PPH272271
rec-0031-org,MAŁGORZATA,WERONIKA,DUDEK,MAŁOPOLSKIE,11/07/1962,CSZ419072
rec-0032-org,IGA,ELŻBIETA,MARKIEWICZ,PODKARPACKIE,16/03/1979,PYA186574
rec-0033-org,SARA,RÓŻA,MARSZAŁEK,MAZOWIECKIE,11/02/1987,NEG923344
rec-0034-org,LENA,JULIA,NOWAK,ŁÓDZKIE,06/03/2013,FZL034174
rec-0035-org,MAŁGORZATA,EWA,GÓRAL,MAZOWIECKIE,30/03/1936,PRW311788
rec-0036-org,LIWIA,MAŁGORZATA,NOWAK,DOLNOŚLĄSKIE,10/02/1952,TLR131703
rec-0037-org,ZOFIA,EWA,WOŹNIAK,ŚLĄSKIE,01/08/1976,KCJ554595
rec-0038-dup-0,ALYTZJA,KATARZYNA,JÓZIWIIAK,PODLASKIE,17/10/1916,TWA814808
rec-0038-org,ALICJA,KATARZYNA,JÓŹWIAK,PODLASKIE,17/10/1961,TWA814808
rec-0039-org,ANNA,EWA,BIAŁAS,DOLNOŚLĄSKIE,05/07/1931,RPL141555
rec-0040-org,KORNELIA,JOANNA,WÓJCIK,DOLNOŚLĄSKIE,02/12/1958,RNS624703
rec-0041-dup-0,POLA,,NA,WARMIŃSKO-MAZURSKIE,25/11/1924,HRR612484
rec-0041-org,POLA,KLAUDIA,PRZYBYLSKA,WARMIŃSKO-MAZURSKIE,25/11/1942,HRR612484
rec-0042-dup-0,,ANTONINA,DĄBROŁSKA,WIELKOPOLSKIE,28/05/1936,ZFM895141
rec-0042-org,ALICJA,ANTONINA,DĄBROWSKA,WIELKOPOLSKIE,28/05/1963,ZFM895141
rec-0043-dup-0,,MAŁGORZATA,SZCZEPANIIAK,,24/11/1993,DWL268040
rec-0043-org,LENA,MAŁGORZATA,SZCZEPANIAK,ŁÓDZKIE,24/11/1993,DWL268040
rec-0044-org,LAURA,ANNA,BORYS,MAZOWIECKIE,09/01/1963,RLH398755
rec-0045-org,LAURA,IZABELLA,GŁOWACKA,MAZOWIECKIE,15/07/1981,CDF858218
rec-0046-org,ZLATA,KATARZYNA,JAROSZ,PODLASKIE,30/03/1945,WGM037260
rec-0047-dup-0,ŹOFYA,MARIA,NA,DOLNOŚLĄSKIE,27/11/1977,
rec-0047-org,ZOFIA,MARIA,RUSEK,DOLNOŚLĄSKIE,27/11/1977,EGJ113651
rec-0048-dup-0,GABRYELA,ALEXANDRA,MARCINIAK,,04/01/1979,ZPS0585k9
rec-0048-org,GABRIELA,ALEXANDRA,MARCINIAK,MAŁOPOLSKIE,04/01/1979,ZPS058519
rec-0049-org,JULIA,ZOFIA,ZALEWSKA,POMORSKIE,25/02/1951,WKD004991
rec-0050-dup-0,MARTZELYINA,,GAWRON,ŁÓDZKIE,02/04/1975,
rec-0050-org,MARCELINA,BARBARA,GAWRON,ŁÓDZKIE,02/04/1975,KZG458013
rec-0051-dup-0,ŻUZANNA,LUCYNA,LEWANDOVSKA,MAZOWIECKIE,11/07/2010,SLR050568
rec-0051-org,ZUZANNA,LUCYNA,LEWANDOWSKA,MAZOWIECKIE,11/07/2001,SLR050568
rec-0052-dup-0,PAULYNA,ZOFIA,MAJEVSKA,WIELKOPOLSKIE,23/12/1979,LLH071186
rec-0052-org,PAULINA,ZOFIA,MAJEWSKA,WIELKOPOLSKIE,23/12/1997,LLH071186
rec-0053-org,MAJA,MARIA,ANDRZEJEWSKA,WIELKOPOLSKIE,27/02/1981,SNA995491
rec-0054-org,LIWIA,FLORENTYNA,KOZIOŁ,MAZOWIECKIE,10/04/1980,WGK406169
rec-0055-org,GABRIELA,OLIMPIA,JAGIEŁŁO,KUJAWSKO-POMORSKIE,16/05/1997,KRA096057
rec-0056-dup-0,,,NA,ŚWIĘTOKRZYSKIE,30/07/1970,WSX646607
rec-0056-org,HELENA,MARIA,PIETRZAK,ŚWIĘTOKRZYSKIE,30/07/1970,WSX646607
rec-0057-org,ANNA,MARIA,KASPRZYK,WIELKOPOLSKIE,29/05/1995,JRF931415
rec-0058-org,KORNELIA,ANNA,JAROSZ,WARMIŃSKO-MAZURSKIE,24/06/1984,GHF960784
rec-0059-dup-0,,,BROŹEK,LUBELSKIE,28/06/1969,AKY933966
rec-0059-org,NADIA,ANTONINA,BROŻEK,LUBELSKIE,28/06/1969,AKY933966
